
The station contributions are:
    Name     Contribution  %Contribution   Accumulated cont.    Magnitude
535) 960566_G    5.131        0.016              97.711              2.935
536) 950241_G    5.127        0.016              97.727              1.164
537) 940081_G    5.123        0.016              97.742              0.265
538) 940069_G    5.069        0.016              97.758              3.202
539) 950416_G    5.055        0.016              97.774              0.239
540) 950155_G    5.027        0.016              97.789              0.857
541) 960533_G    4.950        0.015              97.805              0.585
542) OKHA_GPS    4.911        0.015              97.820              1.785
543) 950370_G    4.891        0.015              97.835              1.963
544) PIE1_GPS    4.882        0.015              97.850              1.541
545) 950231_G    4.866        0.015              97.865              1.422
546) 950160_G    4.857        0.015              97.880              0.912
547) 970808_G    4.847        0.015              97.895              6.662
548) 950461_G    4.839        0.015              97.910              1.551
549) 960694_G    4.818        0.015              97.925              1.688
550) 950207_G    4.751        0.015              97.939              0.592
551) 950464_G    4.751        0.015              97.954              0.748
552) 950434_G    4.741        0.015              97.969              0.659
553) 960609_G    4.709        0.015              97.983              1.088
554) 950141_G    4.697        0.014              97.998              2.566
555) 960703_G    4.696        0.014              98.012              1.915
556) 960631_G    4.669        0.014              98.027              0.663
557) 950234_G    4.655        0.014              98.041              0.984
558) 940002_G    4.654        0.014              98.055              1.567
559) 950218_G    4.642        0.014              98.070              0.408
560) 950239_G    4.607        0.014              98.084              0.477
561) 950299_G    4.538        0.014              98.098              0.436
562) 950474_G    4.465        0.014              98.112              1.390
563) 940039_G    4.448        0.014              98.125              0.713
564) BILI_GPS    4.422        0.014              98.139              1.969
